round_id,settled_at,token_symbol,predicted_rank,actual_rank,rank_difference,is_breakeven,prediction_score,absolute_score,relative_score,predicted_final_value,risk_adjusted_score,total_games,wins,top3,win_rate,top3_rate,avg_rank,avg_value,value_stddev,change_5m,change_1h,change_4h,change_24h,h2h_score,h2h_data_available,hybrid_predicted_rank,hybrid_rank_difference,hybrid_final_score,hybrid_elo_prob,hybrid_mom_score,hybrid_confidence
ojoCap_1752294498000,"2025-07-12 04:29:08",AIXBT,1,4,3,0,86.59,80.8,63.48,78.72,86.59,19,9,15,47.4,78.9,2.11,0.0007,0.0012,,,,,63.47619047619,1,2,2,68.7,78.1,50,50
ojoCap_1752294498000,"2025-07-12 04:29:08",TRUMP,2,3,1,1,78.95,72.3,59.43,70.76,78.95,17,2,12,11.8,70.6,2.94,0,0.001,,,,2.04,59.428571428571,1,4,1,34.1,39,25,50
ojoCap_1752294498000,"2025-07-12 04:29:08",ADA,3,1,2,1,76.09,70.4,58.52,68.97,76.09,16,2,11,12.5,68.8,3.06,0.0003,0.0007,-0.08,-0.83,,6.04,58.52380952381,1,1,0,79.5,67.9,100,52.2
ojoCap_1752294498000,"2025-07-12 04:29:08",RENDER,4,2,2,1,51.18,47,47.38,47.05,51.18,20,0,9,0,45,3.45,-0.0001,0.0009,,-0.75,,-1.93,47.380952380952,1,5,3,23.4,36.7,0,50
ojoCap_1752294498000,"2025-07-12 04:29:08",SHIB,5,5,0,0,47.23,42.9,45.43,43.2,47.23,12,1,5,8.3,41.7,3.75,-0.0001,0.0005,-0.12,-0.58,,-2.09,45.428571428571,1,3,2,44.8,28.3,75,50
ojoCap_1752294438000,"2025-07-12 04:28:08",TRUMP,1,5,4,0,83.39,76.6,61.48,74.79,83.39,16,2,12,12.5,75,2.81,0,0.001,,,,2.04,61.47619047619,1,2,3,55.2,57.5,50,50
ojoCap_1752294438000,"2025-07-12 04:28:08",LINK,2,2,0,1,81.23,75.6,61,73.85,81.23,19,2,14,10.5,73.7,2.89,-0.0001,0.0008,,,,,61,1,4,2,39.3,60.7,0,50
ojoCap_1752294438000,"2025-07-12 04:28:08",UNI,3,1,2,1,59.64,54.6,51,54.17,59.64,17,4,9,23.5,52.9,3.12,0,0.0012,-0.13,-1.01,,4.35,51,1,5,4,38.5,45.5,25,50
ojoCap_1752294438000,"2025-07-12 04:28:08",AVAX,4,4,0,0,59.23,54.6,51,54.17,59.23,17,1,9,5.9,52.9,3.35,-0.0007,0.0025,,-0.74,,-0.37,51,1,1,3,66.9,62.7,75,52.3
ojoCap_1752294438000,"2025-07-12 04:28:08",SHIB,5,3,2,1,41.66,37.5,42.86,38.14,41.66,11,1,4,9.1,36.4,3.82,-0.0001,0.0006,-0.12,-0.58,,-2.09,42.857142857143,1,3,0,50.7,23.7,100,50
ojoCap_1752294378000,"2025-07-12 04:27:08",DOGE,1,4,3,0,84.09,78.2,62.24,76.28,84.09,13,4,10,30.8,76.9,2.46,0.0002,0.0012,0.09,-0.33,,3.18,62.238095238095,1,4,0,42,51.4,25,50
ojoCap_1752294378000,"2025-07-12 04:27:08",TRUMP,2,3,1,1,81.53,74.8,60.62,73.1,81.53,15,2,11,13.3,73.3,2.8,-0.0001,0.001,,,,2.04,60.619047619048,1,5,2,36.7,56.7,0,50
ojoCap_1752294378000,"2025-07-12 04:27:08",BTC,3,5,2,0,78.35,72.8,59.67,71.22,78.35,14,2,10,14.3,71.4,2.79,-0.0001,0.0002,,,,,59.666666666667,1,1,4,78.2,66.1,100,56.3
ojoCap_1752294378000,"2025-07-12 04:27:08",XLM,4,1,3,1,71.76,62.8,54.9,61.85,71.76,13,4,8,30.8,61.5,2.69,0.0007,0.0031,,0.47,,25.65,54.904761904762,0,2,1,46.4,45.1,50,50
ojoCap_1752294378000,"2025-07-12 04:27:08",CHILLGUY,5,2,3,1,58.66,55.1,51.24,54.64,58.66,13,2,7,15.4,53.8,3.38,-0.0001,0.0015,,-1.34,,-6.45,51.238095238095,1,3,1,46,30.6,75,50
ojoCap_1752294318000,"2025-07-12 04:26:08",AIXBT,1,2,1,1,85.36,79.6,62.9,77.6,85.36,18,9,14,50,77.8,2.11,0.0006,0.0012,,,,,62.904761904762,1,1,1,72.2,71.5,75,51.4
ojoCap_1752294318000,"2025-07-12 04:26:08",ADA,2,1,1,1,76.12,70.4,58.52,68.97,76.12,16,1,11,6.3,68.8,3.19,0.0002,0.0007,-0.12,-0.67,,6.12,58.52380952381,1,2,1,65.2,46.6,100,50
ojoCap_1752294318000,"2025-07-12 04:26:08",ONDO,3,4,1,0,68.55,63.3,55.14,62.32,68.55,8,2,5,25,62.5,2.63,0.0003,0.0011,,,,,55.142857142857,1,3,1,41.9,64.1,0,50
ojoCap_1752294318000,"2025-07-12 04:26:08",VANA,4,5,1,0,52.27,47.5,47.62,47.51,52.27,13,2,6,15.4,46.2,3.31,-0.0003,0.0008,,,,,47.619047619048,1,4,1,41.6,37.5,50,50
ojoCap_1752294318000,"2025-07-12 04:26:08",TRX,5,3,2,1,28.13,25.4,37.1,26.8,28.13,4,1,1,25,25,3.75,0,0.0003,,,,-2.47,37.095238095238,1,5,2,28.3,30.2,25,50
ojoCap_1752294258000,"2025-07-12 04:25:08",WIF,1,1,0,1,88.80,82.9,64.48,80.69,88.8,11,3,9,27.3,81.8,2.55,0,0.0017,,,,0.07,64.47619047619,1,3,2,53.5,55.5,50,50
ojoCap_1752294258000,"2025-07-12 04:25:08",COOKIE,2,4,2,0,71.03,65.7,56.29,64.57,71.03,14,6,9,42.9,64.3,2.43,0.0005,0.0008,,,,,56.285714285714,1,1,3,84.9,76.7,100,55.1
ojoCap_1752294258000,"2025-07-12 04:25:08",SHIB,3,5,2,0,50.90,46.6,47.19,46.67,50.9,11,1,5,9.1,45.5,3.55,0,0.0005,,-0.41,,-1.97,47.190476190476,1,4,1,29,31.1,25,50
ojoCap_1752294258000,"2025-07-12 04:25:08",RENDER,4,3,1,1,48.36,44,45.95,44.23,48.36,19,0,8,0,42.1,3.47,-0.0001,0.0009,-0.04,-0.75,,-1.93,45.952380952381,1,5,2,22.7,35.3,0,50
